date,region,resource_type,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,cpu_utilization,storage_efficiency,month,day_of_week,is_weekend,quarter,cpu_lag_1,cpu_lag_7,cpu_rolling_7,cpu_rolling_30
2023-01-01,East US,VM,88,1959,470,104.97,0.99,1,0.8888888888888888,0.9819548872180451,1,6,1,1,88.0,88.0,88.0,88.0
2023-01-01,Southeast Asia,Container,77,1199,470,104.97,0.99,1,0.7777777777777778,0.6010025062656642,1,6,1,1,88.0,88.0,82.5,82.5
2023-01-01,Southeast Asia,Storage,76,1582,369,104.97,0.99,1,0.7676767676767676,0.7929824561403509,1,6,1,1,77.0,88.0,80.33333333333333,80.33333333333333
2023-01-01,Southeast Asia,VM,93,1356,248,104.97,0.99,1,0.9393939393939394,0.6796992481203008,1,6,1,1,76.0,88.0,83.5,83.5
2023-01-01,North Europe,Storage,51,1715,476,104.97,0.99,1,0.5151515151515151,0.8596491228070176,1,6,1,1,93.0,88.0,77.0,77.0
2023-01-01,North Europe,VM,73,1937,493,104.97,0.99,1,0.7373737373737373,0.9709273182957393,1,6,1,1,51.0,88.0,76.33333333333333,76.33333333333333
2023-01-01,North Europe,Container,82,959,221,104.97,0.99,1,0.8282828282828283,0.4807017543859649,1,6,1,1,73.0,88.0,77.14285714285714,77.14285714285714
2023-01-01,West US,Storage,85,1371,351,104.97,0.99,1,0.8585858585858586,0.687218045112782,1,6,1,1,82.0,88.0,76.71428571428571,78.125
2023-01-01,West US,VM,60,1982,287,104.97,0.99,1,0.6060606060606061,0.993483709273183,1,6,1,1,85.0,77.0,74.28571428571429,76.11111111111111
2023-01-01,East US,Container,70,621,414,104.97,0.99,1,0.7070707070707071,0.3112781954887218,1,6,1,1,60.0,76.0,73.42857142857143,75.5
2023-01-01,East US,Storage,92,1595,388,104.97,0.99,1,0.9292929292929293,0.7994987468671679,1,6,1,1,70.0,93.0,73.28571428571429,77.0
2023-01-01,West US,Container,52,1832,457,104.97,0.99,1,0.5252525252525253,0.9182957393483709,1,6,1,1,92.0,51.0,73.42857142857143,74.91666666666667
2023-01-02,North Europe,Storage,96,1455,463,106.48,1.15,0,0.9696969696969697,0.7293233082706767,1,0,0,1,52.0,73.0,76.71428571428571,76.53846153846153
2023-01-02,Southeast Asia,Container,53,1202,417,106.48,1.15,0,0.5353535353535354,0.6025062656641604,1,0,0,1,96.0,82.0,72.57142857142857,74.85714285714286
2023-01-02,Southeast Asia,Storage,55,1065,305,106.48,1.15,0,0.5555555555555556,0.5338345864661654,1,0,0,1,53.0,85.0,68.28571428571429,73.53333333333333
2023-01-02,Southeast Asia,VM,66,1911,201,106.48,1.15,0,0.6666666666666666,0.9578947368421052,1,0,0,1,55.0,60.0,69.14285714285714,73.0625
2023-01-02,North Europe,Container,96,534,405,106.48,1.15,0,0.9696969696969697,0.26766917293233083,1,0,0,1,66.0,70.0,72.85714285714286,74.41176470588235
2023-01-02,North Europe,VM,51,1863,291,106.48,1.15,0,0.5151515151515151,0.9338345864661655,1,0,0,1,96.0,92.0,67.0,73.11111111111111
2023-01-02,East US,Container,86,1146,220,106.48,1.15,0,0.8686868686868687,0.5744360902255639,1,0,0,1,51.0,52.0,71.85714285714286,73.78947368421052
2023-01-02,West US,Storage,53,1100,213,106.48,1.15,0,0.5353535353535354,0.5513784461152882,1,0,0,1,86.0,96.0,65.71428571428571,72.75
