date,region,resource_type,usage_cpu,usage_storage,users_active,econ_index,cloud_market_demand,holiday
2023-01-01,eastus,VM,88,1959,470,104.97,0.99,True
2023-01-01,westus,Container,52,1832,457,104.97,0.99,True
2023-01-01,westus,Storage,85,1371,351,104.97,0.99,True
2023-01-01,westus,VM,60,1982,287,104.97,0.99,True
2023-01-01,southeastasia,Storage,76,1582,369,104.97,0.99,True
2023-01-01,southeastasia,VM,93,1356,248,104.97,0.99,True
2023-01-01,southeastasia,Container,77,1199,470,104.97,0.99,True
2023-01-01,northeurope,Storage,51,1715,476,104.97,0.99,True
2023-01-01,northeurope,VM,73,1937,493,104.97,0.99,True
2023-01-01,eastus,Container,70,621,414,104.97,0.99,True
2023-01-01,eastus,Storage,92,1595,388,104.97,0.99,True
2023-01-01,northeurope,Container,82,959,221,104.97,0.99,True
2023-01-02,southeastasia,Storage,55,1065,305,106.48,1.15,False
2023-01-02,westus,Container,99,1276,252,106.48,1.15,False
2023-01-02,westus,Storage,53,1100,213,106.48,1.15,False
2023-01-02,westus,VM,58,666,473,106.48,1.15,False
2023-01-02,southeastasia,Container,53,1202,417,106.48,1.15,False
2023-01-02,southeastasia,VM,66,1911,201,106.48,1.15,False
2023-01-02,eastus,Container,86,1146,220,106.48,1.15,False
2023-01-02,northeurope,Storage,96,1455,463,106.48,1.15,False
2023-01-02,northeurope,VM,51,1863,291,106.48,1.15,False
2023-01-02,eastus,Storage,93,1767,330,106.48,1.15,False
2023-01-02,eastus,VM,96,1457,250,106.48,1.15,False
2023-01-02,northeurope,Container,96,534,405,106.48,1.15,False
2023-01-03,southeastasia,Storage,66,891,362,97.66,0.98,False
2023-01-03,westus,Container,73,716,451,97.66,0.98,False
2023-01-03,westus,Storage,67,1378,252,97.66,0.98,False
2023-01-03,westus,VM,89,1219,436,97.66,0.98,False
2023-01-03,southeastasia,VM,73,1586,338,97.66,0.98,False
2023-01-03,southeastasia,Container,84,788,460,97.66,0.98,False
2023-01-03,northeurope,Storage,64,564,208,97.66,0.98,False
2023-01-03,northeurope,VM,94,1564,356,97.66,0.98,False
2023-01-03,northeurope,Container,73,1652,335,97.66,0.98,False
2023-01-03,eastus,Container,57,1985,414,97.66,0.98,False
2023-01-03,eastus,Storage,85,769,470,97.66,0.98,False
2023-01-03,eastus,VM,93,661,401,97.66,0.98,False
2023-01-04,westus,Storage,73,1304,298,115.79,1.08,False
2023-01-04,westus,VM,97,1002,261,115.79,1.08,False
2023-01-04,southeastasia,Container,81,1242,440,115.79,1.08,False
2023-01-04,southeastasia,Storage,75,1391,378,115.79,1.08,False
2023-01-04,southeastasia,VM,58,706,214,115.79,1.08,False
2023-01-04,westus,Container,93,1225,234,115.79,1.08,False
2023-01-04,northeurope,Storage,50,1528,417,115.79,1.08,False
2023-01-04,northeurope,VM,50,1112,330,115.79,1.08,False
2023-01-04,eastus,Container,57,1279,232,115.79,1.08,False
2023-01-04,eastus,Storage,77,634,400,115.79,1.08,False
2023-01-04,eastus,VM,91,730,240,115.79,1.08,False
2023-01-04,northeurope,Container,63,1370,482,115.79,1.08,False
2023-01-05,westus,Container,94,1512,333,95.31,1.05,False
2023-01-05,westus,Storage,77,1077,369,95.31,1.05,False
2023-01-05,westus,VM,56,1766,285,95.31,1.05,False
2023-01-05,southeastasia,Container,57,1934,336,95.31,1.05,False
2023-01-05,southeastasia,Storage,62,1782,397,95.31,1.05,False
2023-01-05,southeastasia,VM,82,1908,482,95.31,1.05,False
2023-01-05,northeurope,Container,60,1871,430,95.31,1.05,False
2023-01-05,northeurope,VM,77,1551,307,95.31,1.05,False
2023-01-05,eastus,Container,85,1024,359,95.31,1.05,False
2023-01-05,eastus,Storage,94,1694,228,95.31,1.05,False
2023-01-05,eastus,VM,81,984,430,95.31,1.05,False
2023-01-05,northeurope,Storage,93,1863,485,95.31,1.05,False
2023-01-06,southeastasia,Storage,75,1939,446,95.37,0.95,False
2023-01-06,westus,Container,86,1451,280,95.37,0.95,False
2023-01-06,westus,Storage,61,1909,312,95.37,0.95,False
2023-01-06,westus,VM,98,941,251,95.37,0.95,False
2023-01-06,southeastasia,VM,51,1576,371,95.37,0.95,False
2023-01-06,southeastasia,Container,53,1962,402,95.37,0.95,False
2023-01-06,northeurope,Storage,77,1354,423,95.37,0.95,False
2023-01-06,eastus,VM,86,1748,433,95.37,0.95,False
2023-01-06,eastus,Storage,93,1163,359,95.37,0.95,False
2023-01-06,northeurope,Container,82,884,325,95.37,0.95,False
2023-01-06,northeurope,VM,98,501,329,95.37,0.95,False
2023-01-06,eastus,Container,81,1995,432,95.37,0.95,False
2023-01-07,westus,Container,69,1263,346,102.42,0.81,True
2023-01-07,westus,Storage,55,963,458,102.42,0.81,True
2023-01-07,westus,VM,65,1108,400,102.42,0.81,True
2023-01-07,southeastasia,Container,56,643,311,102.42,0.81,True
2023-01-07,southeastasia,VM,60,972,350,102.42,0.81,True
2023-01-07,southeastasia,Storage,80,1821,298,102.42,0.81,True
2023-01-07,northeurope,Storage,90,1428,327,102.42,0.81,True
2023-01-07,northeurope,VM,69,1363,398,102.42,0.81,True
2023-01-07,eastus,Container,55,1481,439,102.42,0.81,True
2023-01-07,eastus,Storage,73,1383,297,102.42,0.81,True
2023-01-07,eastus,VM,66,1266,493,102.42,0.81,True
2023-01-07,northeurope,Container,88,837,328,102.42,0.81,True
2023-01-08,southeastasia,Storage,74,1413,393,82.75,0.94,True
2023-01-08,westus,Container,69,651,253,82.75,0.94,True
2023-01-08,westus,Storage,97,707,330,82.75,0.94,True
2023-01-08,westus,VM,90,1622,346,82.75,0.94,True
2023-01-08,southeastasia,Container,84,1456,368,82.75,0.94,True
2023-01-08,southeastasia,VM,97,1009,298,82.75,0.94,True
2023-01-08,eastus,Storage,61,952,236,82.75,0.94,True
2023-01-08,northeurope,Storage,98,1943,303,82.75,0.94,True
2023-01-08,northeurope,VM,82,1127,274,82.75,0.94,True
2023-01-08,eastus,Container,81,1514,208,82.75,0.94,True
2023-01-08,eastus,VM,98,501,453,82.75,0.94,True
